Designator,Footprint,Quantity,Value,LCSC Part #
J1,CUI_UJ2-MIBH-G-SMT-TR,1,UJ2-MIBH-G-SMT-TR,
J2,JST_S2B-PH-SM4-TB_LF__SN_,1,S2B-PH-SM4-TB_LF__SN_,
J3,JST_SM04B-SRSS-TB_LF__SN_,1,SM04B-SRSS-TB_LF__SN_,
